Wall time,Step,Value
1581879582.5119293,280,1154.1898193359375
1581879587.351038,281,-2240.328125
1581879590.605081,282,-3034.54345703125
1581879593.6462994,283,5569.0947265625
1581879596.7104957,284,-10188.4833984375
1581879601.3305056,285,-5676.5322265625
1581879619.0282114,290,10798.3994140625
1581879625.137134,292,-1814.6842041015625
1581879629.8273895,293,-578.169921875
1581879636.0458262,295,4537.58154296875
1581879639.0927665,296,2030.0916748046875
1581879643.57737,297,5413.53515625
1581879646.5083075,298,4439.9658203125
1581879649.8032367,299,1098.5870361328125
1581879652.8419037,300,-1441.9288330078125
1581879657.8150597,301,-2603.089599609375
1581879660.9055321,302,-6556.68505859375
1581879663.8930216,303,574.7384033203125
1581879666.9130788,304,998.7388916015625
1581879670.9760613,305,3453.1611328125
1581879680.5548103,308,2893.8466796875
1581879684.9878993,309,1031.0372314453125
1581879688.0702982,310,5456.9833984375
1581879691.3124468,311,-2346.703369140625
1581879694.2959664,312,-906.5900268554688
1581879702.1108482,314,2523.60302734375
1581879705.327041,315,-1895.24951171875
1581879708.4284327,316,-124.31269073486328
1581879712.6880543,317,5698.0830078125
1581879715.7233927,318,10174.779296875
1581879718.8700762,319,-4969.0029296875
1581879721.9199796,320,-3288.891845703125
1581879726.9344156,321,882.9854125976562
1581879730.022297,322,9667.333984375
1581879732.9807358,323,-1554.52392578125
1581879736.1065261,324,-971.9249877929688
1581879741.3715928,325,-3846.462646484375
1581879744.381041,326,2913.509033203125
1581879747.627993,327,991.125244140625
1581879750.5961328,328,3295.6064453125
1581879755.378473,329,4834.25537109375
1581879759.6929653,330,-2750.550048828125
1581879762.6069422,331,-5244.55908203125
1581879765.523068,332,-5087.2109375
1581879773.5406864,334,3095.698974609375
1581879780.867074,336,-57.97381591796875
1581879785.4204223,337,8530.3291015625
1581879788.5618057,338,8027.6240234375
1581879791.467795,339,-365.682373046875
1581879794.3781602,340,3894.0986328125
1581879799.081836,341,-2628.931884765625
1581879802.1935833,342,4324.052734375
1581879805.1246638,343,-2621.725830078125
1581879808.0794659,344,-5763.97900390625
1581879813.5194159,345,-203.31349182128906
1581879816.427807,346,-635.4967041015625
1581879819.3536816,347,-2985.111572265625
1581879822.4099958,348,-363.69903564453125
1581879826.740743,349,-6449.81103515625
1581879829.7397344,350,479.5792541503906
1581879832.6591227,351,-3625.1455078125
1581879835.6318395,352,-3075.440185546875
1581879840.2324185,353,1985.092529296875
1581879843.1616368,354,950.8126220703125
1581879846.1333432,355,1723.646728515625
1581879849.094586,356,3644.7802734375
1581879853.7935355,357,2812.510009765625
1581879856.7863233,358,-1005.9441528320312
1581879859.9078155,359,-2801.892822265625
1581879862.8793478,360,1060.6822509765625
1581879867.5719519,361,561.2025146484375
1581879870.6036983,362,-4134.0009765625
1581879873.5035043,363,7042.35791015625
1581879876.3967528,364,-6974.45556640625
1581879881.3097117,365,-1761.3515625
1581879884.3237784,366,-7174.02197265625
1581879887.267544,367,-4533.1494140625
1581879890.2839894,368,816.94091796875
1581879895.1179767,369,2868.852294921875
1581879902.6188495,371,1399.342529296875
1581879905.5069697,372,6714.66015625
1581879910.0583057,373,851.2088623046875
1581879913.263124,374,-2439.39990234375
1581879916.3340354,375,-4451.27197265625
1581879919.463893,376,-4661.9111328125
1581879924.3586917,377,-1882.532958984375
1581879927.3827794,378,7967.11279296875
1581879930.2960925,379,825.0202026367188
1581879933.2188165,380,-4119.57958984375
1581879940.273334,382,-3415.54345703125
1581879944.662219,383,-3498.719970703125
1581879952.6747243,385,5175.572265625
1581879955.7280622,386,2976.533935546875
1581879958.659979,387,2140.45263671875
1581879961.565039,388,-1441.854248046875
1581879966.1244862,389,1127.409912109375
1581879971.9032476,391,326.1080017089844
1581879974.8857236,392,3901.9990234375
1581879980.0621815,393,-746.5563354492188
1581879983.1578164,394,-8802.7666015625
1581879988.994831,396,1721.2420654296875
1581879993.0771627,397,1861.147216796875
1581879996.0546522,398,4735.35302734375
1581879998.9660823,399,-5837.69482421875
1581880001.9393945,400,-362.708984375
1581880009.8090832,402,-7126.36865234375
1581880012.9671042,403,-3056.61328125
1581880015.9946635,404,-308.19622802734375
1581880023.995088,406,1572.640625
1581880027.002011,407,-4331.5244140625
1581880034.6428173,409,1046.334228515625
1581880040.8677213,411,-2050.517822265625
1581880044.2283692,412,4146.14306640625
1581880050.427385,413,-931.6427001953125
1581880057.7518938,415,-6721.17529296875
1581880060.7390049,416,-1204.19970703125
1581880065.933,417,-3418.188720703125
1581880072.1641634,419,3410.22607421875
1581880075.079979,420,1050.19873046875
1581880079.2154703,421,9200.046875
1581880082.1991808,422,-9612.1171875
1581880085.083269,423,1051.20947265625
1581880088.0196877,424,1450.60400390625
1581880092.2393517,425,2393.36376953125
1581880098.280649,427,10644.69921875
1581880106.2067146,429,-1441.742431640625
1581880112.3697145,431,-458.9565734863281
1581880120.153816,433,243.0747833251953
1581880129.2982147,436,-3799.888916015625
1581880133.7473726,437,-3381.405517578125
1581880139.6208425,439,3373.38671875
1581880142.5081015,440,-1990.80615234375
1581880147.4116375,441,4079.278076171875
1581880150.4255593,442,4688.72265625
1581880153.3056793,443,3223.987060546875
1581880160.9764805,445,5139.7939453125
1581880163.879473,446,76.6524658203125
1581880166.72895,447,3007.10546875
1581880169.699894,448,365.6265869140625
1581880174.530049,449,-889.8955078125
1581880177.5557218,450,4176.74609375
1581880180.439872,451,-4902.03466796875
1581880183.3861573,452,-5628.6123046875
1581880187.7761524,453,912.5355224609375
1581880190.9246943,454,6263.49072265625
1581880193.9006946,455,-5379.041015625
1581880196.8180122,456,-916.1236572265625
1581880204.5948136,458,1679.697265625
1581880207.5179813,459,1603.5125732421875
1581880210.4378872,460,2604.06396484375
1581880215.3095348,461,-655.0765380859375
1581880218.4649534,462,-482.55706787109375
1581880221.442787,463,2150.302734375
1581880224.560254,464,8781.0361328125
1581880229.2583451,465,5301.3408203125
1581880232.2705197,466,-5426.7421875
1581880235.364131,467,-4363.59130859375
1581880238.402002,468,-8399.654296875
1581880242.673131,469,730.6729736328125
1581880245.6130037,470,686.2597045898438
1581880248.6106973,471,4777.30810546875
1581880251.5359414,472,438.1339416503906
1581880255.6673183,473,2793.858642578125
1581880258.6173596,474,4285.2646484375
1581880261.470843,475,2664.5126953125
1581880264.3762317,476,3503.0283203125
1581880272.0982451,478,57.017127990722656
1581880275.010847,479,1744.8802490234375
1581880285.5501685,482,2058.145263671875
1581880288.483122,483,381.4138488769531
1581880291.4417844,484,-6941.75341796875
1581880295.4699297,485,2566.01611328125
1581880298.4002416,486,718.999267578125
1581880301.4795208,487,3087.85498046875
1581880304.4149747,488,6594.0380859375
1581880309.2702806,489,-2982.821533203125
1581880312.2946007,490,6418.564453125
1581880318.1856434,492,-457.2099609375
1581880322.7136235,493,-2863.7568359375
1581880325.5681145,494,-439.9268798828125
1581880336.1596498,497,-466.24835205078125
1581880339.352775,498,4012.81689453125
1581880345.2161047,500,-439.9356384277344
1581880355.793701,503,-365.3164978027344
1581880358.7039359,504,2908.8837890625
1581880363.589108,505,-43.913719177246094
1581880366.7576425,506,3788.918701171875
1581880370.0343623,507,-3965.94970703125
1581880373.0403874,508,1051.379150390625
1581880377.7812655,509,3766.805908203125
1581880380.7855425,510,-1505.7303466796875
1581880383.7298446,511,831.0547485351562
1581880386.6095288,512,-2250.684326171875
1581880391.1814106,513,4562.935546875
1581880397.107566,515,4867.5078125
1581880400.230291,516,4973.123046875
1581880405.261121,517,3350.5
1581880408.7036755,518,2405.942138671875
1581880412.0745049,519,33.941402435302734
1581880415.0495744,520,5706.67578125
1581880419.4659123,521,-766.0547485351562
1581880425.4227986,523,4368.46044921875
1581880428.5576034,524,-2851.84423828125
1581880433.546145,525,-6039.060546875
1581880436.5110016,526,-1885.7188720703125
1581880455.1025674,532,-2094.842041015625
1581880462.577283,534,-7173.5078125
